               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040941,            0.036719,           0.0094994,             0.81678,             0.81455,              0.8483,             0.54864,            0.036018,             0.01944,           0.0048186,             0.00424,             0.00424,             0.00424
                  38,            0.039452,             0.03815,           0.0085074,             0.85408,             0.80812,             0.85855,             0.56517,            0.034572,            0.019209,           0.0047516,             0.00408,             0.00408,             0.00408
                  39,            0.039829,            0.036978,           0.0090196,             0.84238,             0.80986,             0.85846,             0.56227,            0.034921,            0.019403,           0.0047127,             0.00392,             0.00392,             0.00392
                  40,            0.038565,            0.036777,           0.0092723,             0.86612,             0.81082,             0.85945,              0.5672,            0.034345,            0.019197,           0.0046427,             0.00376,             0.00376,             0.00376
                  41,            0.039232,             0.03483,           0.0090538,              0.8504,             0.81221,             0.85578,             0.56847,            0.034652,            0.019064,           0.0046165,              0.0036,              0.0036,              0.0036
                  42,            0.038798,            0.035262,            0.008555,             0.84037,             0.83533,             0.85915,             0.57829,            0.033829,            0.018814,           0.0045596,             0.00344,             0.00344,             0.00344
                  43,            0.037169,             0.03674,           0.0084396,             0.83859,             0.81256,             0.84869,             0.58254,            0.034079,            0.018686,             0.00452,             0.00328,             0.00328,             0.00328
                  44,            0.037832,            0.035616,           0.0088598,             0.86236,             0.81267,             0.85742,             0.59225,            0.033321,            0.018631,           0.0045182,             0.00312,             0.00312,             0.00312
                  45,            0.037143,            0.031196,           0.0092904,             0.89253,             0.80504,             0.86425,             0.59067,            0.033168,            0.018484,           0.0044765,             0.00296,             0.00296,             0.00296
                  46,            0.037225,            0.035031,           0.0079027,             0.87208,             0.80914,             0.86438,             0.59765,            0.032687,            0.018405,           0.0044655,              0.0028,              0.0028,              0.0028
                  47,            0.034725,            0.034382,            0.008628,             0.87107,             0.82791,             0.87025,             0.59715,            0.032816,            0.018354,           0.0044525,             0.00264,             0.00264,             0.00264
                  48,            0.035866,            0.032204,           0.0083797,              0.8631,             0.82624,             0.86521,             0.59867,            0.032841,            0.018176,            0.004422,             0.00248,             0.00248,             0.00248
                  49,            0.036509,             0.03314,           0.0077133,             0.86608,             0.82042,             0.86575,             0.61533,            0.032233,            0.018016,           0.0043708,             0.00232,             0.00232,             0.00232
