epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,154.578,1.0346,0.94998,1.14149,0.81135,0.69717,0.77453,0.61117,0.93925,0.75033,1.04034,8.84277e-05,8.84277e-05,8.84277e-05
13,162.427,1.06174,0.93882,1.17077,0.81368,0.69175,0.77898,0.61393,0.93434,0.73671,1.03464,9.07256e-05,9.07256e-05,9.07256e-05
14,169.909,1.02999,0.9549,1.15348,0.84455,0.68417,0.78312,0.62187,0.92519,0.72508,1.02978,8.83694e-05,8.83694e-05,8.83694e-05
15,177.358,1.00117,0.8911,1.13932,0.85493,0.6864,0.78792,0.62479,0.91093,0.7113,1.02246,8.60132e-05,8.60132e-05,8.60132e-05
16,185.58,1.00761,0.92981,1.14702,0.84999,0.68876,0.79001,0.62652,0.90333,0.698,1.01986,8.3657e-05,8.3657e-05,8.3657e-05
17,192.983,0.9707,0.84209,1.12043,0.82069,0.70055,0.78755,0.62839,0.89558,0.6874,1.01647,8.13008e-05,8.13008e-05,8.13008e-05
18,200.889,0.9966,0.87841,1.14637,0.8367,0.69903,0.78979,0.63201,0.88681,0.67553,1.01271,7.89446e-05,7.89446e-05,7.89446e-05
19,208.262,0.9718,0.83818,1.11294,0.81164,0.73162,0.79729,0.63688,0.88253,0.66288,1.00914,7.65884e-05,7.65884e-05,7.65884e-05
20,216.013,0.96341,0.82665,1.1076,0.80755,0.73791,0.79933,0.63959,0.87938,0.65968,1.00915,7.42322e-05,7.42322e-05,7.42322e-05
21,223.573,0.97122,0.86032,1.12925,0.80002,0.75864,0.80204,0.64621,0.87557,0.65092,1.00604,7.1876e-05,7.1876e-05,7.1876e-05
22,231.338,1.00434,0.82469,1.14126,0.80373,0.76313,0.80517,0.6524,0.87263,0.64616,1.0047,6.95198e-05,6.95198e-05,6.95198e-05
23,239.423,0.9936,0.88764,1.13739,0.80382,0.76434,0.80634,0.6532,0.87087,0.64258,1.00439,6.71636e-05,6.71636e-05,6.71636e-05
24,248.547,0.90005,0.76486,1.09729,0.80037,0.76517,0.80909,0.6562,0.86719,0.63941,1.00215,6.48074e-05,6.48074e-05,6.48074e-05
25,256.701,0.97828,0.83979,1.12375,0.81806,0.7561,0.81404,0.65599,0.86315,0.63213,0.99861,6.24512e-05,6.24512e-05,6.24512e-05
26,265.113,0.99691,0.83082,1.13158,0.85992,0.73973,0.81781,0.65885,0.85863,0.62554,0.99543,6.0095e-05,6.0095e-05,6.0095e-05
27,273.084,0.94358,0.79741,1.10824,0.85848,0.74231,0.81703,0.65923,0.85022,0.61989,0.9916,5.77388e-05,5.77388e-05,5.77388e-05
28,281.276,0.92946,0.79365,1.1092,0.86489,0.74736,0.82257,0.66274,0.84542,0.6162,0.98884,5.53826e-05,5.53826e-05,5.53826e-05
29,288.452,0.95809,0.78201,1.09329,0.85577,0.74967,0.83606,0.67049,0.83748,0.6116,0.98374,5.30264e-05,5.30264e-05,5.30264e-05
30,296.08,0.91853,0.78851,1.08798,0.85235,0.74692,0.82793,0.66907,0.82944,0.6053,0.98045,5.06702e-05,5.06702e-05,5.06702e-05
31,303.166,0.95478,0.80272,1.10412,0.81462,0.76542,0.82933,0.67534,0.82673,0.59817,0.97848,4.8314e-05,4.8314e-05,4.8314e-05
32,311.992,0.97462,0.77459,1.09737,0.81786,0.7772,0.82816,0.67528,0.82158,0.59114,0.97542,4.59578e-05,4.59578e-05,4.59578e-05
33,319.445,0.86234,0.72095,1.08351,0.81662,0.7723,0.82947,0.67594,0.81756,0.58789,0.97483,4.36016e-05,4.36016e-05,4.36016e-05
34,327.935,0.9267,0.76015,1.0784,0.81501,0.78297,0.83331,0.67881,0.81402,0.58615,0.97405,4.12454e-05,4.12454e-05,4.12454e-05
35,335.806,0.89083,0.74913,1.07958,0.82372,0.78367,0.84176,0.67791,0.8118,0.58366,0.97356,3.88892e-05,3.88892e-05,3.88892e-05
36,343.297,0.90832,0.76967,1.10439,0.82636,0.78015,0.83231,0.67911,0.81125,0.58269,0.97338,3.6533e-05,3.6533e-05,3.6533e-05
37,351.01,0.88937,0.72931,1.05227,0.83559,0.77898,0.83003,0.67897,0.80829,0.58015,0.97113,3.41768e-05,3.41768e-05,3.41768e-05
38,359.207,0.92623,0.75405,1.07614,0.84588,0.77269,0.82999,0.68422,0.80497,0.57698,0.96948,3.18206e-05,3.18206e-05,3.18206e-05
39,366.742,0.91517,0.75711,1.08816,0.84933,0.77601,0.83228,0.68651,0.8003,0.57394,0.96727,2.94644e-05,2.94644e-05,2.94644e-05
40,374.127,0.92507,0.77285,1.08301,0.85117,0.77496,0.83224,0.68735,0.80052,0.57126,0.96696,2.71082e-05,2.71082e-05,2.71082e-05
41,429.122,0.91163,0.7426,1.06217,0.82783,0.77954,0.83065,0.68712,0.79998,0.57213,0.96481,2.4752e-05,2.4752e-05,2.4752e-05
42,436.403,0.91417,0.75165,1.05473,0.80989,0.77923,0.83249,0.68611,0.80234,0.57489,0.96476,2.23958e-05,2.23958e-05,2.23958e-05
43,443.757,0.88317,0.69896,1.04756,0.80807,0.77746,0.83594,0.68915,0.80525,0.57621,0.9661,2.00396e-05,2.00396e-05,2.00396e-05
44,451.031,0.89129,0.69818,1.03099,0.80709,0.78036,0.8388,0.68895,0.80543,0.57875,0.9658,1.76834e-05,1.76834e-05,1.76834e-05
45,458.384,0.91941,0.72029,1.04382,0.80865,0.77691,0.84556,0.69114,0.80496,0.57917,0.96592,1.53272e-05,1.53272e-05,1.53272e-05
46,465.467,0.87701,0.70434,1.05457,0.8047,0.79268,0.84562,0.69245,0.80545,0.57953,0.96683,1.2971e-05,1.2971e-05,1.2971e-05
47,472.72,0.91039,0.70492,1.02831,0.87524,0.74564,0.84629,0.69225,0.80633,0.58242,0.96853,1.06148e-05,1.06148e-05,1.06148e-05
48,480.03,0.88486,0.67504,1.02592,0.87484,0.74508,0.84495,0.69216,0.80733,0.58417,0.96938,8.2586e-06,8.2586e-06,8.2586e-06
49,487.421,0.85981,0.67345,1.03614,0.8206,0.78706,0.84922,0.6935,0.80677,0.58517,0.9693,5.9024e-06,5.9024e-06,5.9024e-06
50,494.644,0.91173,0.72983,1.05035,0.78597,0.7988,0.84815,0.68691,0.80823,0.58781,0.97007,3.5462e-06,3.5462e-06,3.5462e-06
