epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8603,1.16608,1.32324,1.27291,0.68175,0.61066,0.68218,0.52722,1.03046,0.95377,1.10398,8.33e-06,8.33e-06,8.33e-06
2,35.9993,1.16012,1.24036,1.222,0.70947,0.63037,0.69294,0.53363,1.0251,0.92812,1.09727,1.74966e-05,1.74966e-05,1.74966e-05
3,49.5168,1.12816,1.16891,1.25218,0.72811,0.63394,0.6992,0.54121,1.01969,0.91324,1.09259,2.62861e-05,2.62861e-05,2.62861e-05
4,62.4342,1.12786,1.14358,1.20396,0.76794,0.636,0.71161,0.54992,1.01353,0.89042,1.08647,3.46987e-05,3.46987e-05,3.46987e-05
5,74.7156,1.10265,1.1159,1.20694,0.76402,0.66383,0.71977,0.55923,0.99657,0.87366,1.07624,4.27343e-05,4.27343e-05,4.27343e-05
6,88.4657,1.13728,1.13632,1.19077,0.77526,0.66292,0.72612,0.56508,0.97858,0.84684,1.06494,5.03929e-05,5.03929e-05,5.03929e-05
7,101.226,1.10706,1.06557,1.19717,0.76143,0.67643,0.73134,0.5724,0.97209,0.83373,1.06217,5.76745e-05,5.76745e-05,5.76745e-05
8,113.392,1.08804,1.02844,1.19889,0.76732,0.69919,0.74445,0.58501,0.96396,0.81875,1.05683,6.45792e-05,6.45792e-05,6.45792e-05
9,124.826,1.06606,1.06206,1.18637,0.77007,0.71909,0.75633,0.59385,0.95596,0.79643,1.05266,7.11068e-05,7.11068e-05,7.11068e-05
10,137.574,1.06241,0.99768,1.19226,0.77517,0.71852,0.76098,0.59987,0.95351,0.78173,1.05039,7.72574e-05,7.72574e-05,7.72574e-05
11,145.496,1.05667,0.99747,1.16983,0.77189,0.72146,0.76797,0.60577,0.94396,0.76357,1.04498,8.30311e-05,8.30311e-05,8.30311e-05
