epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,425.404,0.88561,0.72229,1.07169,0.85667,0.77683,0.84671,0.69793,0.7755,0.5514,0.95046,7.42322e-05,7.42322e-05,7.42322e-05
40,435.654,0.90313,0.74336,1.06666,0.88429,0.7635,0.85197,0.70416,0.77695,0.54822,0.95058,7.30541e-05,7.30541e-05,7.30541e-05
41,447.096,0.88809,0.70487,1.07554,0.88986,0.76965,0.85324,0.70676,0.77282,0.54607,0.94858,7.1876e-05,7.1876e-05,7.1876e-05
42,459.282,0.85675,0.71661,1.07568,0.83734,0.80106,0.86172,0.71034,0.76712,0.54205,0.94572,7.06979e-05,7.06979e-05,7.06979e-05
43,469.551,0.89582,0.70625,1.07205,0.90346,0.75915,0.86302,0.708,0.75999,0.53793,0.94503,6.95198e-05,6.95198e-05,6.95198e-05
44,480.434,0.88082,0.71437,1.04652,0.83295,0.8032,0.864,0.7117,0.75489,0.53264,0.9433,6.83417e-05,6.83417e-05,6.83417e-05
45,491.017,0.89696,0.71172,1.05843,0.84436,0.8036,0.86546,0.71209,0.75134,0.52852,0.94195,6.71636e-05,6.71636e-05,6.71636e-05
46,502.221,0.85627,0.69916,1.06389,0.86763,0.795,0.86639,0.71192,0.75013,0.52556,0.9398,6.59855e-05,6.59855e-05,6.59855e-05
47,513.326,0.89699,0.70009,1.0705,0.87529,0.79351,0.86706,0.7166,0.7512,0.52566,0.93941,6.48074e-05,6.48074e-05,6.48074e-05
48,522.39,0.85696,0.66904,1.04559,0.8707,0.79046,0.86556,0.7192,0.75086,0.52198,0.93825,6.36293e-05,6.36293e-05,6.36293e-05
49,532.183,0.86094,0.68808,1.05806,0.86591,0.79071,0.86663,0.72136,0.74763,0.51943,0.93623,6.24512e-05,6.24512e-05,6.24512e-05
50,544.551,0.85203,0.68161,1.03286,0.86611,0.78808,0.86706,0.72023,0.74338,0.51595,0.9337,6.12731e-05,6.12731e-05,6.12731e-05
51,554.616,0.84297,0.66375,1.02071,0.86976,0.7919,0.86932,0.72186,0.73775,0.51206,0.93137,6.0095e-05,6.0095e-05,6.0095e-05
52,564.608,0.87399,0.68109,1.05446,0.86668,0.79528,0.86803,0.72173,0.73332,0.50922,0.92961,5.89169e-05,5.89169e-05,5.89169e-05
53,574.746,0.83091,0.66109,1.03295,0.85652,0.80347,0.86894,0.7244,0.72989,0.50673,0.92803,5.77388e-05,5.77388e-05,5.77388e-05
54,585.219,0.84142,0.6675,1.04394,0.8579,0.80738,0.87055,0.72458,0.72937,0.50583,0.92668,5.65607e-05,5.65607e-05,5.65607e-05
55,596.987,0.83199,0.64123,1.04272,0.85325,0.80864,0.87295,0.72761,0.72909,0.50336,0.92607,5.53826e-05,5.53826e-05,5.53826e-05
56,608.352,0.87506,0.69509,1.04896,0.8454,0.8148,0.87065,0.72529,0.7302,0.50238,0.92567,5.42045e-05,5.42045e-05,5.42045e-05
57,621.33,0.89425,0.71882,1.04536,0.91866,0.76398,0.87189,0.72952,0.72729,0.50087,0.92605,5.30264e-05,5.30264e-05,5.30264e-05
58,639.671,0.86926,0.66477,1.02145,0.84031,0.81032,0.87223,0.73058,0.7251,0.50085,0.92518,5.18483e-05,5.18483e-05,5.18483e-05
59,651.954,0.8413,0.65881,1.0258,0.8374,0.81091,0.87386,0.73223,0.7221,0.49986,0.92422,5.06702e-05,5.06702e-05,5.06702e-05
60,663.809,0.87207,0.67731,1.04533,0.85623,0.79877,0.87335,0.7343,0.71989,0.49801,0.92328,4.94921e-05,4.94921e-05,4.94921e-05
61,676.559,0.86915,0.67333,1.05127,0.87187,0.78662,0.87112,0.73289,0.71893,0.49645,0.92255,4.8314e-05,4.8314e-05,4.8314e-05
62,688.493,0.7906,0.62653,1.01564,0.87693,0.78365,0.87175,0.73141,0.71949,0.4965,0.92286,4.71359e-05,4.71359e-05,4.71359e-05
63,701.54,0.8929,0.68867,1.04361,0.88159,0.78459,0.87255,0.73275,0.71818,0.49546,0.92271,4.59578e-05,4.59578e-05,4.59578e-05
64,712.582,0.82261,0.63763,1.03776,0.89351,0.78478,0.87389,0.73575,0.71671,0.49426,0.92318,4.47797e-05,4.47797e-05,4.47797e-05
65,725.867,0.84486,0.63722,1.03943,0.83623,0.83021,0.87447,0.73653,0.71397,0.49078,0.92225,4.36016e-05,4.36016e-05,4.36016e-05
